kanton,jahr,bevolkerung
Schweiz,2004,7364148
Schweiz,2005,7415102
Schweiz,2006,7459128
Schweiz,2007,7508739
Schweiz,2008,7593494
Schweiz,2009,7701856
Schweiz,2010,7785806
Schweiz,2011,7870134
Schweiz,2012,7954662
Schweiz,2013,8039060
Schweiz,2014,8139631
Schweiz,2015,8237666
Schweiz,2016,8327126
Schweiz,2017,8419550
Schweiz,2018,8484130
Schweiz,2019,8544527
Schweiz,2020,8606033
Schweiz,2021,8670300
Schweiz,2022,8738791
Schweiz,2023,8815385
Zürich,2004,1249893
Zürich,2005,1261810
Zürich,2006,1272590
Zürich,2007,1284052
Zürich,2008,1307567
Zürich,2009,1332727
Zürich,2010,1351297
Zürich,2011,1373068
Zürich,2012,1392396
Zürich,2013,1408575
Zürich,2014,1425538
Zürich,2015,1446354
Zürich,2016,1466424
Zürich,2017,1487969
Zürich,2018,1504346
Zürich,2019,1520968
Zürich,2020,1539275
Zürich,2021,1553423
Zürich,2022,1564662
Zürich,2023,1579967
Bern,2004,951957
Bern,2005,955378
Bern,2006,957064
Bern,2007,958897
Bern,2008,962982
Bern,2009,969299
Bern,2010,974235
Bern,2011,979754
Bern,2012,985000
Bern,2013,992567
Bern,2014,1001232
Bern,2015,1009370
Bern,2016,1017434
Bern,2017,1026464
Bern,2018,1031080
Bern,2019,1034931
Bern,2020,1039426
Bern,2021,1043081
Bern,2022,1047422
Bern,2023,1051437
Luzern,2004,353175
Luzern,2005,354731
Luzern,2006,356384
Luzern,2007,359110
Luzern,2008,363475
Luzern,2009,368742
Luzern,2010,372964
Luzern,2011,377610
Luzern,2012,381966
Luzern,2013,386082
Luzern,2014,390349
Luzern,2015,394604
Luzern,2016,398762
Luzern,2017,403397
Luzern,2018,406506
Luzern,2019,409557
Luzern,2020,413120
Luzern,2021,416347
Luzern,2022,420326
Luzern,2023,424851
Uri,2004,35118
Uri,2005,35083
Uri,2006,35087
Uri,2007,34948
Uri,2008,34989
Uri,2009,35162
Uri,2010,35335
Uri,2011,35422
Uri,2012,35382
Uri,2013,35693
Uri,2014,35865
Uri,2015,36008
Uri,2016,35973
Uri,2017,36145
Uri,2018,36299
Uri,2019,36433
Uri,2020,36703
